2501,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пос. Красный Октябрь
2502,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пос. Красный Октябрь
2503,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, Зеленый городок
2504,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. станции Бронницы,Улица, ул. Лесная
2505,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красноармейская
2506,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Стальконструкции
2507,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Комбината стройматериалов-1,Дом, д.12
2508,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Никоновское,Улица, ул. Академика Иванова
2509,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Михалевича
2510,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Серова
2511,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Солнечная
2512,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Мичурина
2513,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пр-д. Сафоновский
2514,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Денежниково,Дом, д.4
2515,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Гжельского Кирпичного Завода,Дом, д.17
2516,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Нижегородская
2517,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Островцы,Улица, ул. Подмосковная
2518,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Солнечная
2519,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Серова
2520,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, Зеленый городок
2521,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ш. Донинское
2522,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Прудовая
2523,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Электроизолятор,Дом, д.61
2524,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Дергаевская
2525,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Десантная
2526,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Школьная
2527,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, с. Боршева,Дом, д.108
2528,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, пос. Красный Октябрь
2529,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красноармейская
2530,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Коммунистическая
2531,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, рп. Быково,Улица, ул. Карла Маркса
2532,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, д. Морозово,Дом, д.131
2533,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Спартак,Дом, д.8
2534,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Красноармейская
2535,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Народная
2536,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Удельная,Улица, ул. Школьная
2537,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, дп. Кратово,Улица, ул. Мира
2538,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Космонавтов
2539,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Высоковольтная
2540,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, г. Раменское,Улица, ул. Фабричная
2541,Область,Московская обл.,МР/Г.О., Раменский р-н,Населенный пункт, п. Дубовая Роща,Улица, ул. Октябрьская
