id дома,Наименование адреса,УДАЛИТЬ!,Тип (дом/бизнес-центр),Наименование сегмента,GUID
3995,"Московская обл., Раменский г.о., г. Раменское, пр-д. Деревообделочный, д.2а",,МКД,"Раменский г.о., г. Раменское, пр-д. Деревообделочный",
3195,"Московская обл., Раменский г.о., г. Раменское, пр-д. Железнодорожный, д.11",,МКД,"Раменский г.о., г. Раменское, пр-д. Железнодорожный",958A6C0A-BA52-11E7-BC29-FE5F11EEAB0E
3176,"Московская обл., Раменский г.о., г. Раменское, пр-д. Железнодорожный, д.5",,МКД,"Раменский г.о., г. Раменское, пр-д. Железнодорожный",7F7B8C5A-BA52-11E7-BC29-FE5F11EEAB0E
2543,"Московская обл., Раменский г.о., г. Раменское, пр-д. Железнодорожный, д.7",,МКД,"Раменский г.о., г. Раменское, пр-д. Железнодорожный",403D7078-BA55-11E7-8E30-FE5F11EEAB0E
3063,"Московская обл., Раменский г.о., г. Раменское, пр-д. Железнодорожный, д.9",,МКД,"Раменский г.о., г. Раменское, пр-д. Железнодорожный",0C12FF00-BA52-11E7-BC29-FE5F11EEAB0E
3530,"Московская обл., Раменский г.о., г. Раменское, пр-д. Западный, д.4",,МКД,"Раменский г.о., г. Раменское, пр-д. Западный",DDBC4FD8-BA53-11E7-8E30-FE5F11EEAB0E
3018,"Московская обл., Раменский г.о., г. Раменское, пр-д. Западный, д.6",,МКД,"Раменский г.о., г. Раменское, пр-д. Западный",EBDB9D3C-BA51-11E7-BC29-FE5F11EEAB0E
3264,"Московская обл., Раменский г.о., г. Раменское, пр-д. Сафоновский, д.11",,МКД,"Раменский г.о., г. Раменское, пр-д. Сафоновский",D7EB5D7A-BA52-11E7-B693-FE5F11EEAB0E
2325,"Московская обл., Раменский г.о., г. Раменское, пр-д. Сафоновский, д.3",,МКД,"Раменский г.о., г. Раменское, пр-д. Сафоновский",6440BB4C-BA50-11E7-98AD-FE5F11EEAB0E
3081,"Московская обл., Раменский г.о., г. Раменское, пр-д. Сафоновский, д.5",,МКД,"Раменский г.о., г. Раменское, пр-д. Сафоновский",1AFF4906-BA52-11E7-BC29-FE5F11EEAB0E
2513,"Московская обл., Раменский г.о., г. Раменское, пр-д. Сафоновский, д.7",,МКД,"Раменский г.о., г. Раменское, пр-д. Сафоновский",29B29324-BA55-11E7-8E30-FE5F11EEAB0E
2891,"Московская обл., Раменский г.о., г. Раменское, пр-д. Спортивный, д.1",,МКД,"Раменский г.о., г. Раменское, пр-д. Спортивный",8209B588-BA51-11E7-B129-FE5F11EEAB0E
2943,"Московская обл., Раменский г.о., г. Раменское, пр-д. Спортивный, д.15",,МКД,"Раменский г.о., г. Раменское, пр-д. Спортивный",B56DCDCE-BA51-11E7-BC29-FE5F11EEAB0E
3158,"Московская обл., Раменский г.о., г. Раменское, пр-д. Спортивный, д.5",,МКД,"Раменский г.о., г. Раменское, пр-д. Спортивный",71943AB0-BA52-11E7-BC29-FE5F11EEAB0E
2347,"Московская обл., Раменский г.о., г. Раменское, пр-д. Спортивный, д.7",,МКД,"Раменский г.о., г. Раменское, пр-д. Спортивный",764D9AC6-BA50-11E7-98AD-FE5F11EEAB0E
3093,"Московская обл., Раменский г.о., г. Раменское, пр-д. Транспортный, д.2",,МКД,"Раменский г.о., г. Раменское, пр-д. Транспортный",24DE3D2E-BA52-11E7-BC29-FE5F11EEAB0E
2333,"Московская обл., Раменский г.о., г. Раменское, пр-д. Транспортный, д.3",,МКД,"Раменский г.о., г. Раменское, пр-д. Транспортный",6C06E40A-BA50-11E7-98AD-FE5F11EEAB0E
2402,"Московская обл., Раменский г.о., г. Раменское, пр-д. Транспортный, д.4",,МКД,"Раменский г.о., г. Раменское, пр-д. Транспортный",C4E9A0A4-BA54-11E7-8E30-FE5F11EEAB0E
2360,"Московская обл., Раменский г.о., г. Раменское, пр-д. Транспортный, д.5",,МКД,"Раменский г.о., г. Раменское, пр-д. Транспортный",A054E258-BA54-11E7-8E30-FE5F11EEAB0E
3057,"Московская обл., Раменский г.о., г. Раменское, ул. 100-й Свирской Дивизии, д.1",,МКД,"Раменский г.о., г. Раменское, ул. 100-й Свирской Дивизии",07CC9636-BA52-11E7-BC29-FE5F11EEAB0E
3294,"Московская обл., Раменский г.о., г. Раменское, ул. 2-я Песочная, д.13",,МКД,"Раменский г.о., г. Раменское, ул. 2-я Песочная",EF5C2728-BA52-11E7-AF29-FE5F11EEAB0E
2461,"Московская обл., Раменский г.о., г. Раменское, ул. Бронницкая, д.11",,МКД,"Раменский г.о., г. Раменское, ул. Бронницкая",F9473398-BA54-11E7-8E30-FE5F11EEAB0E
2916,"Московская обл., Раменский г.о., г. Раменское, ул. Бронницкая, д.13",,МКД,"Раменский г.о., г. Раменское, ул. Бронницкая",9BABEEFC-BA51-11E7-AC20-FE5F11EEAB0E
3589,"Московская обл., Раменский г.о., г. Раменское, ул. Бронницкая, д.15",,МКД,"Раменский г.о., г. Раменское, ул. Бронницкая",13FA3CC2-BA54-11E7-8E30-FE5F11EEAB0E
2900,"Московская обл., Раменский г.о., г. Раменское, ул. Бронницкая, д.17",,МКД,"Раменский г.о., г. Раменское, ул. Бронницкая",892591C0-BA51-11E7-94E0-FE5F11EEAB0E
2815,"Московская обл., Раменский г.о., г. Раменское, ул. Бронницкая, д.19",,МКД,"Раменский г.о., г. Раменское, ул. Бронницкая",43B6165A-BA51-11E7-ACED-FE5F11EEAB0E
2793,"Московская обл., Раменский г.о., г. Раменское, ул. Бронницкая, д.21",,МКД,"Раменский г.о., г. Раменское, ул. Бронницкая",2D434F28-BA51-11E7-9766-FE5F11EEAB0E
3458,"Московская обл., Раменский г.о., г. Раменское, ул. Бронницкая, д.23",,МКД,"Раменский г.о., г. Раменское, ул. Бронницкая",A5748474-BA53-11E7-8E30-FE5F11EEAB0E
3702,"Московская обл., Раменский г.о., г. Раменское, ул. Бронницкая, д.25",,МКД,"Раменский г.о., г. Раменское, ул. Бронницкая",8B485E9E-BA54-11E7-8E30-FE5F11EEAB0E
3649,"Московская обл., Раменский г.о., г. Раменское, ул. Бронницкая, д.27",,МКД,"Раменский г.о., г. Раменское, ул. Бронницкая",51E89ABA-BA54-11E7-8E30-FE5F11EEAB0E
2363,"Московская обл., Раменский г.о., г. Раменское, ул. Бронницкая, д.29",,МКД,"Раменский г.о., г. Раменское, ул. Бронницкая",A3923114-BA54-11E7-8E30-FE5F11EEAB0E
2380,"Московская обл., Раменский г.о., г. Раменское, ул. Бронницкая, д.31",,МКД,"Раменский г.о., г. Раменское, ул. Бронницкая",AE74508A-BA54-11E7-8E30-FE5F11EEAB0E
2768,"Московская обл., Раменский г.о., г. Раменское, ул. Бронницкая, д.33",,МКД,"Раменский г.о., г. Раменское, ул. Бронницкая",194449BE-BA51-11E7-B856-FE5F11EEAB0E
2872,"Московская обл., Раменский г.о., г. Раменское, ул. Воровского, д.10",,МКД,"Раменский г.о., г. Раменское, ул. Воровского",7498C574-BA51-11E7-B9A7-FE5F11EEAB0E
3069,"Московская обл., Раменский г.о., г. Раменское, ул. Воровского, д.10а",,МКД,"Раменский г.о., г. Раменское, ул. Воровского",143B1E1A-BA52-11E7-BC29-FE5F11EEAB0E
3404,"Московская обл., Раменский г.о., г. Раменское, ул. Воровского, д.12",,МКД,"Раменский г.о., г. Раменское, ул. Воровского",67A29A50-BA53-11E7-8DE1-FE5F11EEAB0E
3504,"Московская обл., Раменский г.о., г. Раменское, ул. Воровского, д.14",,МКД,"Раменский г.о., г. Раменское, ул. Воровского",C77E1256-BA53-11E7-8E30-FE5F11EEAB0E
3354,"Московская обл., Раменский г.о., г. Раменское, ул. Воровского, д.16",,МКД,"Раменский г.о., г. Раменское, ул. Воровского",2DB74534-BA53-11E7-89CA-FE5F11EEAB0E
3405,"Московская обл., Раменский г.о., г. Раменское, ул. Воровского, д.18",,МКД,"Раменский г.о., г. Раменское, ул. Воровского",68F9B64A-BA53-11E7-BE7B-FE5F11EEAB0E
2436,"Московская обл., Раменский г.о., г. Раменское, ул. Воровского, д.3",,МКД,"Раменский г.о., г. Раменское, ул. Воровского",E439263C-BA54-11E7-8E30-FE5F11EEAB0E
3802,"Московская обл., Раменский г.о., г. Раменское, ул. Воровского, д.3/1",,МКД,"Раменский г.о., г. Раменское, ул. Воровского",F8073E28-BA55-11E7-B286-FE5F11EEAB0E
2547,"Московская обл., Раменский г.о., г. Раменское, ул. Воровского, д.3/2",,МКД,"Раменский г.о., г. Раменское, ул. Воровского",F7388696-BA55-11E7-B286-FE5F11EEAB0E
3801,"Московская обл., Раменский г.о., г. Раменское, ул. Воровского, д.3/3",,МКД,"Раменский г.о., г. Раменское, ул. Воровского",F7A8CF28-BA55-11E7-B286-FE5F11EEAB0E
3212,"Московская обл., Раменский г.о., г. Раменское, ул. Воровского, д.6",,МКД,"Раменский г.о., г. Раменское, ул. Воровского",A787EF40-BA52-11E7-A6C8-FE5F11EEAB0E
3466,"Московская обл., Раменский г.о., г. Раменское, ул. Воровского, д.8",,МКД,"Раменский г.о., г. Раменское, ул. Воровского",A977F9DE-BA53-11E7-8E30-FE5F11EEAB0E
3363,"Московская обл., Раменский г.о., г. Раменское, ул. Воровского, д.9",,МКД,"Раменский г.о., г. Раменское, ул. Воровского",3CE0B874-BA53-11E7-A1DD-FE5F11EEAB0E
3884,"Московская обл., Раменский г.о., г. Раменское, ул. Высоковольтная, д.20",,МКД,"Раменский г.о., г. Раменское, ул. Высоковольтная",D709C40C-2CC6-11E6-9904-1CB95553488B
2539,"Московская обл., Раменский г.о., г. Раменское, ул. Высоковольтная, д.21",,МКД,"Раменский г.о., г. Раменское, ул. Высоковольтная",3DFE2A46-BA55-11E7-8E30-FE5F11EEAB0E
3160,"Московская обл., Раменский г.о., г. Раменское, ул. Высоковольтная, д.22",,МКД,"Раменский г.о., г. Раменское, ул. Высоковольтная",72BD1BE6-BA52-11E7-BC29-FE5F11EEAB0E
2551,"Московская обл., Раменский г.о., г. Раменское, ул. Высоковольтная, д.23",,МКД,"Раменский г.о., г. Раменское, ул. Высоковольтная",6EA47B14-BA55-11E7-8E30-FE5F11EEAB0E
3401,"Московская обл., Раменский г.о., г. Раменское, ул. Гражданская, д.19",,МКД,"Раменский г.о., г. Раменское, ул. Гражданская",64BD3C3C-BA53-11E7-AAE4-FE5F11EEAB0E
3964,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д. 24 А",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",
2693,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.1",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",D5BF22A4-BA50-11E7-9DD4-FE5F11EEAB0E
3603,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.10",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",21ED4EA0-BA54-11E7-8E30-FE5F11EEAB0E
3015,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.11",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",EA0D40A0-BA51-11E7-BC29-FE5F11EEAB0E
3437,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.12",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",8A6CEEDC-BA53-11E7-8E30-FE5F11EEAB0E
2642,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.12/2",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",870FE68C-32F4-11E6-B7DA-61D3C711C228
3421,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.13",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",818BF1FA-BA53-11E7-8E30-FE5F11EEAB0E
2695,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.13/1",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",85B45E76-32F4-11E6-B7DA-61D3C711C228
2899,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.14",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",88FA7152-BA51-11E7-94E0-FE5F11EEAB0E
2809,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.15/1",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",8632FE84-32F4-11E6-B7DA-61D3C711C228
2985,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.15/2",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",8667701A-32F4-11E6-B7DA-61D3C711C228
2929,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.16",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",A92A233C-BA51-11E7-9B48-FE5F11EEAB0E
2876,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.16/1",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",FA375196-32F3-11E6-97BE-61D3C711C228
2639,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.17",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",985C44D2-BA50-11E7-B6D2-FE5F11EEAB0E
3703,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.18",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",8B9288DE-BA54-11E7-8E30-FE5F11EEAB0E
2676,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.19",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",C8A91034-BA50-11E7-B7E6-FE5F11EEAB0E
2660,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.1в",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",AA9ED6FA-BA50-11E7-9FFD-FE5F11EEAB0E
2434,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.1г",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",E2FD3326-BA54-11E7-8E30-FE5F11EEAB0E
2418,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.1д",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",D0BE790E-BA54-11E7-8E30-FE5F11EEAB0E
2999,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.20",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",D8A8BD30-BA51-11E7-BC29-FE5F11EEAB0E
2797,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.22",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",2FC2E4A2-BA51-11E7-80C2-FE5F11EEAB0E
2757,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.24",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",0EB587F6-BA51-11E7-808E-FE5F11EEAB0E
3572,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.25",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",00339E36-BA54-11E7-8E30-FE5F11EEAB0E
3586,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.26",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",128B606E-BA54-11E7-8E30-FE5F11EEAB0E
3248,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.28",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",CAF9FD42-BA52-11E7-BCE3-FE5F11EEAB0E
2596,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.2а",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",CF494414-BA54-11E7-8E30-FE5F11EEAB0E
3471,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.3",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",AD7CED96-BA53-11E7-8E30-FE5F11EEAB0E
3106,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.4",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",342CD024-BA52-11E7-BC29-FE5F11EEAB0E
3177,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.4а",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",7FDC1700-BA52-11E7-BC29-FE5F11EEAB0E
3680,"Московская обл., Раменский г.о., г. Раменское, ул. Гурьева, д.5",,МКД,"Раменский г.о., г. Раменское, ул. Гурьева",716091E0-BA54-11E7-8E30-FE5F11EEAB0E
